taxa,suggested,corrected,obs
Mimosa gracilis gracilis,Mimosa gracilis var. gracilis,Mimosa gracilis var. gracilis,
Mimosa gracilis invisiformis,Mimosa gracilis var. invisiformis,Mimosa gracilis var. invisiformis,
Mimosa gracilis leiocarpa,Mimosa gracilis var. leiocarpa,Mimosa gracilis var. leiocarpa,
Mimosa gracilis longipes,Mimosa gracilis var. longipes,Mimosa gracilis var. longipes,
Mimosa gracilis,Mimosa gracilis,Mimosa gracilis,
Mimosa gracilis stipitata,Mimosa gracilis var. stipitata,Mimosa gracilis var. stipitata,
Mimosa gracilis var.brevissima,Mimosa gracilis var. brevissima,Mimosa gracilis var. brevissima,
Mimosa gracilis var. brevissima,Mimosa gracilis var. brevissima,Mimosa gracilis var. brevissima,
Mimosa gracilis var.capillipes,Mimosa gracilis var. capillipes,Mimosa gracilis var. capillipes,
Mimosa gracilis var.gracilis,Mimosa gracilis var. gracilis,Mimosa gracilis var. gracilis,
Mimosa gracilis var.invisiformis,Mimosa gracilis var. invisiformis,Mimosa gracilis var. invisiformis,
Mimosa gracilis var. invisiformis,Mimosa gracilis var. invisiformis,Mimosa gracilis var. invisiformis,
Mimosa gracilis var. longipes,Mimosa gracilis var. longipes,Mimosa gracilis var. longipes,
Mimosa gracilis var. stipitata,Mimosa gracilis var. stipitata,Mimosa gracilis var. stipitata,
Mimosa guaranitica,Mimosa guaranitica,Mimosa guaranitica,
Mimosa guilandinae duckei,Mimosa guilandinae var. duckei,Mimosa guilandinae var. duckei,
Mimosa guilandinae,Mimosa guilandinae,Mimosa guilandinae,
Mimosa guilandinae spruceana,Mimosa guilandinae var. spruceana,Mimosa guilandinae var. spruceana,
Mimosa gymnas,Mimosa gymnas,Mimosa gymnas,
Mimosa gymnothyrsa,NA,,Barneby?; check this further
Mimosa hapaloclada,Mimosa hapaloclada,Mimosa hapaloclada,
Mimosa harpaloclada,Mimosa hapaloclada,Mimosa hapaloclada,
Mimosa hatschbachii,Mimosa hatschbachii,Mimosa hatschbachii,
Mimosa hebecarpa,Mimosa hebecarpa,Mimosa hebecarpa,
Mimosa hebeclada,Mimosa hebecarpa,Mimosa hebecarpa,
Mimosa heringeri,Mimosa heringeri,Mimosa heringeri,
Mimosa heterotricha,Mimosa heterotricha,Mimosa heterotricha,
Mimosa hexandra,Mimosa hexandra,Mimosa hexandra,
Mimosa hilariana,Mimosa hilariana,Mimosa hilariana,
Mimosa hipoglauca,Mimosa hypoglauca,Mimosa hypoglauca,
Mimosa hirsuta,Mimosa virgula,Mimosa hirsuta,incorrect suggestion; accepted name
Mimosa hirsuticaulis,Mimosa hirsuticaulis,Mimosa hirsuticaulis,
Mimosa hirsutissima barbigera,Mimosa hirsutissima var. barbigera,Mimosa hirsutissima var. barbigera,
Mimosa hirsutissima grossa,Mimosa hirsutissima var. grossa,Mimosa hirsutissima var. grossa,
Mimosa hirsutissima hirsutissima,Mimosa hirsutissima var. hirsutissima,Mimosa hirsutissima var. hirsutissima,
Mimosa hirsutissima,Mimosa hirsutissima,Mimosa hirsutissima,
Mimosa hirsutissima var. hirsutissima,Mimosa hirsutissima var. hirsutissima,Mimosa hirsutissima var. hirsutissima,
Mimosa hirsutissma,Mimosa hirsutissima,Mimosa hirsutissima,
Mimosa honesta,Mimosa honesta,Mimosa honesta,
Mimosa hortensis,Mimosa hortensis,Mimosa hortensis,
Mimosa humifusa,Mimosa humifusa,Mimosa humifusa,
Mimosa humivagans,Mimosa humivagans,Mimosa humivagans,
Mimosa hycteridis,Mimosa nycteridis,Mimosa nycteridis,
Mimosa hypnodes,Mimosa hypnodes,Mimosa hypnodes,
Mimosa hypoglauca allostegia,Mimosa hypoglauca var. allostegia,Mimosa hypoglauca var. allostegia,
Mimosa hypoglauca dawsonii,Mimosa hypoglauca var. dawsonii,Mimosa hypoglauca var. dawsonii,
